CustomerID,Date,Season,Temperature,Humidity,Consumption_kWh,PeakUsage
1,2022-01-01,Winter,6.5,48.6,351.7,1
1,2022-02-01,Winter,6.0,52.8,392.7,1
1,2022-03-01,Spring,13.6,64.3,239.5,0
1,2022-04-01,Spring,12.2,39.1,276.5,0
1,2022-05-01,Spring,12.0,62.5,243.5,0
1,2022-06-01,Summer,18.6,66.9,372.8,1
1,2022-07-01,Summer,23.4,70.6,354.4,1
1,2022-08-01,Summer,27.8,71.5,343.7,0
1,2022-09-01,Fall,10.0,57.6,237.5,0
1,2022-10-01,Fall,11.2,56.1,293.0,0
1,2022-11-01,Fall,6.0,66.4,302.5,0
1,2022-12-01,Winter,7.6,39.9,314.6,0
1,2023-01-01,Winter,3.6,60.6,324.2,0
1,2023-02-01,Winter,5.4,55.8,391.5,1
1,2023-03-01,Spring,12.5,57.5,261.6,0
1,2023-04-01,Spring,18.3,58.6,251.3,0
1,2023-05-01,Spring,17.4,70.8,272.5,0
1,2023-06-01,Summer,24.8,74.9,379.6,1
1,2023-07-01,Summer,24.9,77.8,353.4,1
1,2023-08-01,Summer,24.8,62.9,381.4,1
1,2023-09-01,Fall,9.3,67.5,248.8,0
1,2023-10-01,Fall,12.2,63.5,241.1,0
1,2023-11-01,Fall,12.7,67.3,315.7,0
1,2023-12-01,Winter,5.5,46.9,350.1,1
1,2024-01-01,Winter,3.8,35.4,326.0,0
1,2024-02-01,Winter,6.0,46.0,344.5,0
1,2024-03-01,Spring,14.5,63.2,252.3,0
1,2024-04-01,Spring,19.2,59.9,224.6,0
1,2024-05-01,Spring,15.2,79.7,252.6,0
1,2024-06-01,Summer,24.2,67.1,350.9,1
1,2024-07-01,Summer,28.4,73.8,328.2,0
1,2024-08-01,Summer,29.2,77.0,390.0,1
1,2024-09-01,Fall,7.0,61.0,276.6,0
1,2024-10-01,Fall,12.6,65.1,246.3,0
1,2024-11-01,Fall,6.8,68.3,293.9,0
1,2024-12-01,Winter,4.5,46.1,319.1,0
1,2025-01-01,Winter,7.4,37.7,406.3,1
2,2022-01-01,Winter,12.6,46.8,379.7,1
2,2022-02-01,Winter,5.8,57.8,376.3,1
2,2022-03-01,Spring,12.4,64.9,269.4,0
2,2022-04-01,Spring,15.9,54.3,243.8,0
2,2022-05-01,Spring,11.3,68.4,280.0,0
2,2022-06-01,Summer,22.1,73.9,364.9,1
2,2022-07-01,Summer,28.8,72.1,382.9,1
2,2022-08-01,Summer,24.3,66.2,363.5,1
2,2022-09-01,Fall,9.3,73.5,280.9,0
2,2022-10-01,Fall,9.2,84.0,232.5,0
2,2022-11-01,Fall,12.9,65.3,247.9,0
2,2022-12-01,Winter,4.3,57.1,328.4,0
2,2023-01-01,Winter,7.2,45.5,368.6,1
2,2023-02-01,Winter,3.7,58.6,354.4,1
2,2023-03-01,Spring,15.3,65.0,281.1,0
2,2023-04-01,Spring,15.2,50.9,310.1,0
2,2023-05-01,Spring,18.2,52.3,285.3,0
2,2023-06-01,Summer,26.5,72.6,382.5,1
2,2023-07-01,Summer,27.6,77.2,369.1,1
2,2023-08-01,Summer,27.9,73.3,360.3,1
2,2023-09-01,Fall,5.5,66.2,225.0,0
2,2023-10-01,Fall,16.9,51.9,248.9,0
2,2023-11-01,Fall,10.2,58.7,264.6,0
2,2023-12-01,Winter,2.9,56.8,415.2,1
2,2024-01-01,Winter,10.5,63.6,405.1,1
2,2024-02-01,Winter,-1.1,51.9,368.8,1
2,2024-03-01,Spring,10.0,53.8,283.6,0
2,2024-04-01,Spring,13.6,54.8,291.9,0
2,2024-05-01,Spring,18.8,63.0,309.7,0
2,2024-06-01,Summer,20.4,67.6,346.6,0
2,2024-07-01,Summer,30.6,69.9,339.8,0
2,2024-08-01,Summer,24.2,63.8,384.8,1
2,2024-09-01,Fall,14.0,64.1,268.2,0
2,2024-10-01,Fall,13.5,65.1,275.5,0
2,2024-11-01,Fall,10.2,69.5,277.1,0
2,2024-12-01,Winter,9.8,37.6,371.2,1
2,2025-01-01,Winter,5.2,54.4,382.2,1
3,2022-01-01,Winter,5.8,43.8,352.0,1
3,2022-02-01,Winter,3.6,43.8,364.7,1
3,2022-03-01,Spring,17.7,62.5,271.5,0
3,2022-04-01,Spring,17.6,64.4,274.2,0
3,2022-05-01,Spring,14.9,60.9,248.9,0
3,2022-06-01,Summer,28.5,77.8,366.5,1
3,2022-07-01,Summer,28.9,70.1,344.4,0
3,2022-08-01,Summer,27.6,68.6,374.7,1
3,2022-09-01,Fall,10.3,69.2,242.1,0
3,2022-10-01,Fall,8.7,73.4,261.2,0
